"","gene","Expression_Score","Biology_Score","Druggability_Score","Complement_Evidence","Innate_Sensing_Evidence","Myeloid_Receptor_Evidence","Lupus_Evidence","Known_Target","AI_Target_Score","Target_Class","GWAS_Evidence","Novelty_Score","AI_Target_Score_v2"
"2","C5AR1",56.2347947883139,3,3,1,0,0,1,1,7.83837163226615,"GPCR",0,0,7.83837163226615
"49","TLR4",55.4508343326226,3,3,0,1,0,1,1,7.81434020387206,"Immune_Receptor",0,0,7.81434020387206
"39","SIGLEC1",63.3218572056371,2.5,2,0,0,1,1,0,6.97713163974527,"Myeloid_Receptor",0,0,6.97713163974527
"31","CD300E",89.0651944765174,2.5,2,0,0,1,0,0,6.3097383060214,"Myeloid_Receptor",0,1,6.8097383060214
"246","P2RX7",10.1870366381298,3,3,0,1,0,1,1,6.42682925833483,"Other",0,0,6.42682925833483
"3","LILRB2",71.317276559493,2.5,2,0,0,1,0,0,5.76569579026572,"Myeloid_Receptor",0,1,6.26569579026572
"23","HK3",207.850490018486,0,0,0,0,0,0,0,6.15586065124032,"Other",0,0,6.15586065124032
"19","PILRA",53.2570732145623,2.5,2,0,0,1,0,0,5.21208051501081,"Myeloid_Receptor",0,1,5.71208051501081
"8","CSF1R",38.429179458248,1.5,3,0,0,0,1,1,5.6544247025024,"Kinase",0,0,5.6544247025024
"25","CFD",78.9089466726766,3,1,1,0,0,0,0,5.47339081442055,"Other",0,0,5.47339081442055
"78","LILRA3",89.7806144462295,2.5,0,0,0,1,0,0,4.72816365387082,"Myeloid_Receptor",0,1,5.22816365387082
"75","C3AR1",17.3848638110013,3,3,1,0,0,0,1,5.19094411521315,"GPCR",0,0,5.19094411521315
"28","CLEC7A",30.9736981696763,3,2,0,1,0,0,0,4.80574206535237,"Immune_Receptor",0,0,4.80574206535237
"35","C1QC",56.9302067389541,3,1,1,0,0,0,0,4.7996571954921,"Other",0,0,4.7996571954921
"100","C2",53.7682195537242,3,1,1,0,0,0,0,4.70273002515684,"Other",0,0,4.70273002515684
"10","CD14",53.9236849917818,1.5,2,0,1,0,0,0,4.6790479175155,"Other",0,0,4.6790479175155
"73","LILRA1",70.1279790528358,2.5,0,0,0,1,0,0,4.12573416041487,"Myeloid_Receptor",0,1,4.62573416041487
"282","BTK",6.54272374146245,0,3,0,0,0,1,0,3.84678091914054,"Kinase",1,0,4.34678091914054
"482","IRF5",3.24435226758548,3,0,0,1,0,1,0,3.80875148337985,"Other",1,0,4.30875148337985
"95","LILRB3",61.2657943903097,2.5,0,0,0,1,0,0,3.85407383037316,"Other",0,0,3.85407383037316
"48","S100A9",98.113919255908,0,1,0,0,0,0,0,3.5937616913744,"Other",0,0,3.5937616913744
"18","FCN1",70.1293958177856,1.5,1,0,0,0,0,0,3.56612776652988,"Other",0,0,3.56612776652988
"65","AQP9",121.81793810068,0,0,0,0,0,0,0,3.51862927564631,"Other",0,0,3.51862927564631
"52","APOBEC3A",120.597767576997,0,0,0,0,0,0,0,3.48122631691847,"Other",0,0,3.48122631691847
"62","CFP",36.8514960649253,3,0,1,0,0,0,0,3.38241431782583,"Other",0,0,3.38241431782583
"11","RP11-290F20.3",113.838379681478,0,0,0,0,0,0,0,3.27402486304432,"Other",0,0,3.27402486304432
"55","TLR2",26.6005571563612,3,0,0,1,0,0,0,3.0681832841493,"Other",0,0,3.0681832841493
"38","C1QA",26.0819282071815,3,0,1,0,0,0,0,3.0522852954627,"Other",0,0,3.0522852954627
"21","MS4A4A",71.6435041291772,1.5,0,0,0,0,0,0,2.81078853401268,"Other",0,0,2.81078853401268
"85","S100A8",70.1691803909001,0,1,0,0,0,0,0,2.73714706731921,"Other",0,0,2.73714706731921
"57","ZNF703",86.8718796703759,0,0,0,0,0,0,0,2.44739705375677,"Other",0,0,2.44739705375677
"1","MAFB",58.3673850029925,1.5,0,0,0,0,0,0,2.40382399413541,"Other",0,0,2.40382399413541
"265","PYCARD",3.72610228092499,3,0,0,1,0,0,0,2.36699252841369,"Other",0,0,2.36699252841369
"472","MYD88",2.07841193985414,3,0,0,1,0,0,0,2.31648442923645,"Other",0,0,2.31648442923645
"463","CASP1",2.01139617475798,3,0,0,1,0,0,0,2.31443013612958,"Other",0,0,2.31443013612958
"22","SLC11A1",80.5717816259154,0,0,0,0,0,0,0,2.25427461507747,"Other",0,0,2.25427461507747
"471","SYK",1.97553001395873,0,3,0,0,0,0,0,2.25025225724202,"Other",0,0,2.25025225724202
"6","CD68",45.2478143306729,1.5,0,0,0,0,0,0,2.00165827150963,"Other",0,0,2.00165827150963
"87","SASH1",66.4656603974411,0,0,0,0,0,0,0,1.82186729177493,"Other",0,0,1.82186729177493
"12","SECTM1",58.5009447981238,0,0,0,0,0,0,0,1.5777178691672,"Other",0,0,1.5777178691672
"110","PTGIR",57.8581788957956,0,0,0,0,0,0,0,1.55801460142731,"Other",0,0,1.55801460142731
"4","MS4A7",30.2899258293799,1.5,0,0,0,0,0,0,1.54314097789344,"Other",0,0,1.54314097789344
"5","AIF1",29.8460119749625,1.5,0,0,0,0,0,0,1.52953329662823,"Other",0,0,1.52953329662823
"105","CD36",56.4323347947209,0,0,0,0,0,0,0,1.51430694989034,"Other",0,0,1.51430694989034
"9","DMXL2",55.4604713528339,0,0,0,0,0,0,0,1.4845155662268,"Other",0,0,1.4845155662268
"7","LRRC25",54.2431578211908,0,0,0,0,0,0,0,1.44720018538524,"Other",0,0,1.44720018538524
"26","PLAUR",49.876227084081,0,0,0,0,0,0,0,1.31333682206254,"Other",0,0,1.31333682206254
"16","EMR2",49.2754657628595,0,0,0,0,0,0,0,1.29492115763959,"Other",0,0,1.29492115763959
"76","CSTA",47.0610400942944,0,0,0,0,0,0,0,1.22704042270986,"Other",0,0,1.22704042270986
"44","LRP1",46.8785563533197,0,0,0,0,0,0,0,1.22144658832385,"Other",0,0,1.22144658832385
"103","NFAM1",41.7150659636641,0,0,0,0,0,0,0,1.06316558236011,"Other",0,0,1.06316558236011
"124","C19orf38",41.0329904685852,0,0,0,0,0,0,0,1.04225732314836,"Other",0,0,1.04225732314836
"90","FPR1",39.1253083718657,0,0,0,0,0,0,0,0.983779468336685,"Other",0,0,0.983779468336685
